Time; GMSL (mm);SE (95% CI)
1902;-55,13833891;29,59835367
1903;-31,14160295;29,52220683
1904;-64,5853188;29,86117803
1905;-56,85347775;26,29088085
1906;-70,98333165;26,23541668
1907;-60,43971659;26,23541563
1908;-58,95554282;26,14497248
1909;-63,54303103;25,70627638
1910;-68,19638905;25,60841508
1911;-55,37926756;26,24739199
1912;-50,17413802;25,62015681
1913;-54,10608779;25,61631032
1914;-32,76298896;25,59769255
1915;-37,29371436;25,59255069
1916;-76,71031526;26,09984973
1917;-84,63176779;26,0922612
1918;-53,02957815;24,55297449
1919;-42,93802499;24,48486716
1920;-45,03130183;24,97310725
1921;-45,36826747;24,54967639
1922;-39,42695364;24,97629427
1923;-59,33649445;25,62750249
1924;-44,75396163;24,45708479
1925;-50,68125525;24,48204889
1926;-56,52519681;24,95330183
1927;-58,5736324;24,88084764
1928;-57,51592185;24,8807276
1929;-61,3764253;24,88064086
1930;-48,66489091;24,87702753
1931;-50,89483992;24,86460693
1932;-36,7166511;24,89952555
1933;-43,77902144;24,90376041
1934;-38,38941859;24,90140444
1935;-33,98779753;24,5146543
1936;-35,59042107;23,9299557
1937;-33,08202854;24,1824085
1938;-22,03414953;23,60252
1939;-28,79311582;23,99201021
1940;-12,22626977;24,12982725
1941;-10,48072992;24,04546339
1942;-19,04785099;24,08678265
1943;-23,50699892;24,51621348
1944;-37,81568221;23,9943847
1945;-32,78770383;23,79621907
1946;-9,131617562;23,04256887
1947;-13,37796402;22,26897657
1948;-6,36526662;22,04238462
1949;4,81595429;22,05950583
1950;6,528931792;22,14061322
1951;4,8968319;21,73921461
1952;3,628938506;21,76278192
1953;3,601819703;21,85042387
1954;8,904348541;21,73395782
1955;-9,337678035;21,80013604
1956;-10,11529254;21,76989898
1957;2,47408786;20,38618365
1958;7,15276814;18,46167459
1959;7,367306461;17,59579413
1960;0,923762691;17,60369241
1961;7,620179595;17,51113761
1962;9,18199429;17,3949509
1963;12,47958597;20,68216365
1964;-5,597062647;20,52257627
1965;6,529132409;21,14379229
1966;-2,341620129;17,26825325
1967;-4,358523598;17,24463986
1968;-0,259920602;17,39423752
1969;-2,109979026;17,37817338
1970;4,697384839;17,57842026
1971;11,90768174;17,32946444
1972;4,746251523;17,12627167
1973;6,953130037;17,13700053
1974;25,68734512;17,21880591
1975;12,18436945;16,75520735
1976;9,639065133;16,95143816
1977;4,014872291;16,63895566
1978;17,51469869;16,80527957
1979;17,94826401;16,97666502
1980;24,04273249;16,64049215
1981;29,69203059;17,04828018
1982;17,60749394;16,85276586
1983;34,74893094;16,50922032
1984;40,16868814;16,58532763
1985;29,71655738;16,54085754
1986;22,961138;16,83018679
1987;41,96792339;20,49066479
1988;36,41415166;17,58353828
1989;33,55860986;16,99328108
1990;33,70271894;16,99854509
1991;30,75820436;16,96904409
1992;36,23481316;16,80208019
1993;31,05085232;15,72587599
1994;37,95607011;15,58328457
1995;43,51964837;15,56170784
1996;46,36895662;15,66856495
1997;57,65887415;15,60886994
1998;48,23989902;15,60758688
1999;64,02050789;15,85980339
2000;72,05401159;16,49142683
2001;61,72392159;15,85641641
2002;55,61991504;15,91819093
2003;79,34029453;15,75879493
2004;69,78701308;15,59181135
2005;72,2127769;15,55380434
2006;77,68445326;16,24190561
2007;73,17451755;15,61485078
2008;82,49625795;15,64496373
2009;81,81792213;15,87698664
2010;80,41524403;15,84421355
2011;98,42073884;16,08983696
2012;108,8447044;16,20827926